vs_id,vs_name,district,lok_sabha_constituency,electors,is_sc_reserved
1,Narela,North Delhi,North West Delhi,253982,No
2,Burari,North Delhi,North East Delhi,361703,No
3,Timarpur,North Delhi,North East Delhi,203599,No
4,Adarsh Nagar,North Delhi,Chandni Chowk,173416,No
5,Badli,North Delhi,North West Delhi,219941,No
6,Rithala,North West Delhi,North West Delhi,279653,No
7,Bawana,North Delhi,North West Delhi,319559,Yes
8,Mundka,North West Delhi,North West Delhi,282984,No
9,Kirari,North West Delhi,North West Delhi,273856,No
10,Sultan Pur Majra,North West Delhi,North West Delhi,175622,Yes
11,Nangloi Jat,West Delhi,North West Delhi,266339,No
12,Mangol Puri,North West Delhi,North West Delhi,190728,Yes
13,Rohini,North Delhi,North West Delhi,183092,No
14,Shalimar Bagh,North West Delhi,Chandni Chowk,189373,No
15,Shakur Basti,North Delhi,Chandni Chowk,146226,No
16,Tri Nagar,North West Delhi,Chandni Chowk,167978,No
17,Wazirpur,North Delhi,Chandni Chowk,181241,No
18,Model Town,North Delhi,Chandni Chowk,168355,No
19,Sadar Bazar,Central Delhi,Chandni Chowk,184903,No
20,Chandni Chowk,Central Delhi,Chandni Chowk,125717,No
21,Matia Mahal,Central Delhi,Chandni Chowk,125793,No
22,Ballimaran,Central Delhi,Chandni Chowk,141744,No
23,Karol Bagh,Central Delhi,New Delhi,177413,Yes
24,Patel Nagar,West Delhi,New Delhi,198185,Yes
25,Moti Nagar,West Delhi,New Delhi,181883,No
26,Madipur,West Delhi,West Delhi,175048,Yes
27,Rajouri Garden,West Delhi,West Delhi,180248,No
28,Hari Nagar,West Delhi,West Delhi,175191,No
29,Tilak Nagar,West Delhi,West Delhi,156949,No
30,Janakpuri,West Delhi,West Delhi,189818,No
31,Vikaspuri,West Delhi,West Delhi,402599,No
32,Uttam Nagar,West Delhi,West Delhi,284770,No
33,Dwarka,West Delhi,West Delhi,220001,No
34,Matiala,West Delhi,West Delhi,424924,No
35,Najafgarh,West Delhi,West Delhi,251833,No
36,Bijwasan,West Delhi,South Delhi,201630,No
37,Palam,West Delhi,South Delhi,247721,No
38,Delhi Cantonment,New Delhi,New Delhi,129703,No
39,Rajinder Nagar,New Delhi,New Delhi,177222,No
40,New Delhi,New Delhi,New Delhi,146122,No
41,Jangpura,South East Delhi,East Delhi,146383,No
42,Kasturba Nagar,South East Delhi,New Delhi,153485,No
43,Malviya Nagar,South Delhi,New Delhi,152442,No
44,R K Puram,New Delhi,New Delhi,157876,No
45,Mehrauli,South Delhi,South Delhi,203804,No
46,Chhatarpur,South Delhi,South Delhi,218736,No
47,Deoli,South Delhi,South Delhi,236728,Yes
48,Ambedkar Nagar,South Delhi,South Delhi,157223,Yes
49,Sangam Vihar,South East Delhi,South Delhi,189041,No
50,Greater Kailash,South East Delhi,New Delhi,180653,No
51,Kalkaji,South East Delhi,South Delhi,185910,No
52,Tughlakabad,South East Delhi,South Delhi,177672,No
53,Badarpur,South East Delhi,South Delhi,321556,No
54,Okhla,South East Delhi,South East Delhi,335147,No
55,Trilokpuri,East Delhi,East Delhi,200540,Yes
56,Kondli,East Delhi,East Delhi,191383,Yes
57,Patparganj,East Delhi,East Delhi,231461,No
58,Laxmi Nagar,East Delhi,East Delhi,221792,No
59,Vishwas Nagar,Shahdara,East Delhi,200047,No
60,Krishna Nagar,East Delhi,East Delhi,217431,No
61,Gandhi Nagar,East Delhi,East Delhi,182831,No
62,Shahdara,Shahdara,East Delhi,189407,No
63,Seemapuri,Shahdara,East Delhi,196306,Yes
64,Rohtas Nagar,Shahdara,East Delhi,210943,No
65,Seelampur,North East Delhi,North East Delhi,181756,No
66,Ghonda,North East Delhi,North East Delhi,222398,No
67,Babarpur,Shahdara,North East Delhi,217243,No
68,Gokalpur,North East Delhi,North East Delhi,234779,Yes
69,Mustafabad,North East Delhi,North East Delhi,262750,No
70,Karawal Nagar,North East Delhi,North East Delhi,283203,No